starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 01:21:20 2022	1653175280	1	5	5	5
Sun May 22 01:20:27 2022	1653175227	0	5	5	5
Sun May 22 01:20:27 2022	1653175227	0	5	6	5
Sun May 22 01:21:19 2022	1653175279	1	5	6	5
Sun May 22 01:21:02 2022	1653175262	1	5	6	4
Sun May 22 01:21:07 2022	1653175267	0	5	6	3
Sun May 22 01:21:03 2022	1653175263	0	5	6	5
Sun May 22 01:21:03 2022	1653175263	1	5	6	5
Sun May 22 01:21:19 2022	1653175279	1	5	6	5
Sun May 22 01:21:06 2022	1653175266	1	5	6	4
Sun May 22 01:21:21 2022	1653175281	0	5	6	5
Sun May 22 01:21:03 2022	1653175263	0	5	6	5
Sun May 22 01:21:19 2022	1653175279	1	5	6	5
Sun May 22 01:21:02 2022	1653175262	0	6	6	4
Sun May 22 01:21:03 2022	1653175263	1	5	6	5
Sun May 22 01:21:04 2022	1653175264	0	6	6	4
Sun May 22 01:21:02 2022	1653175262	1	5	6	4
Sun May 22 01:21:21 2022	1653175281	0	6	6	4
Sun May 22 01:21:02 2022	1653175262	1	5	6	4
Sun May 22 01:21:05 2022	1653175265	0	6	6	6
Sun May 22 01:21:23 2022	1653175283	1	5	6	5
Sun May 22 01:21:23 2022	1653175283	1	5	6	5
Sun May 22 01:20:32 2022	1653175232	1	5	6	5
Sun May 22 01:20:28 2022	1653175228	1	6	6	5
Sun May 22 01:21:17 2022	1653175277	0	6	6	6
Sun May 22 01:21:02 2022	1653175262	1	6	6	4
Sun May 22 01:21:04 2022	1653175264	0	6	6	4
Sun May 22 01:20:28 2022	1653175228	1	6	6	4
Sun May 22 01:21:20 2022	1653175280	1	5	6	5
Sun May 22 01:20:27 2022	1653175227	1	5	6	5
Sun May 22 01:21:18 2022	1653175278	1	5	6	5
Sun May 22 01:21:04 2022	1653175264	1	5	6	4
Sun May 22 01:21:10 2022	1653175270	1	6	6	5
Sun May 22 01:20:28 2022	1653175228	1	6	6	6
Sun May 22 01:21:03 2022	1653175263	1	6	6	4
Sun May 22 01:21:02 2022	1653175262	1	6	6	5
Sun May 22 01:21:03 2022	1653175263	0	6	6	6
Sun May 22 01:21:04 2022	1653175264	0	6	6	5
Sun May 22 01:21:08 2022	1653175268	0	6	6	4
Sun May 22 01:21:02 2022	1653175262	1	6	6	4
Sun May 22 01:20:27 2022	1653175227	1	5	6	5
Sun May 22 01:21:08 2022	1653175268	0	6	6	5
Sun May 22 01:20:28 2022	1653175228	0	6	6	4
Sun May 22 01:20:27 2022	1653175227	1	6	6	6
Sun May 22 01:21:03 2022	1653175263	1	5	6	5
Sun May 22 01:21:02 2022	1653175262	1	6	6	6
Sun May 22 01:21:02 2022	1653175262	1	6	6	4
Sun May 22 01:20:28 2022	1653175228	1	6	6	5
Sun May 22 01:21:17 2022	1653175277	1	6	6	6
Sun May 22 01:21:04 2022	1653175264	1	6	6	4
Sun May 22 01:21:02 2022	1653175262	1	6	7	6
Sun May 22 01:21:23 2022	1653175283	1	6	7	6
Sun May 22 01:21:11 2022	1653175271	0	6	7	6
Sun May 22 01:21:21 2022	1653175281	1	6	7	6
Sun May 22 01:21:03 2022	1653175263	1	6	7	5
Sun May 22 01:21:06 2022	1653175266	0	6	7	6
Sun May 22 01:21:03 2022	1653175263	1	6	7	6
Sun May 22 01:21:19 2022	1653175279	1	6	7	6
Sun May 22 01:21:02 2022	1653175262	1	6	7	5
Sun May 22 01:21:08 2022	1653175268	1	6	7	6
Sun May 22 01:21:03 2022	1653175263	1	6	7	6
Sun May 22 01:21:03 2022	1653175263	1	6	7	6
Sun May 22 01:21:04 2022	1653175264	1	6	7	4
Sun May 22 01:21:04 2022	1653175264	1	6	7	6
Sun May 22 01:21:14 2022	1653175274	1	6	7	4
Sun May 22 01:20:27 2022	1653175227	1	6	7	6
Sun May 22 01:21:10 2022	1653175270	1	6	7	4
Sun May 22 01:21:04 2022	1653175264	1	6	7	4
Sun May 22 01:21:02 2022	1653175262	1	6	7	4
Sun May 22 01:20:29 2022	1653175229	1	6	7	4
Sun May 22 01:21:03 2022	1653175263	1	6	7	6
Sun May 22 01:21:17 2022	1653175277	1	6	7	6
Sun May 22 01:21:07 2022	1653175267	1	6	7	6
Sun May 22 01:21:09 2022	1653175269	1	6	7	4
Sun May 22 01:21:15 2022	1653175275	1	6	7	4
Sun May 22 01:21:23 2022	1653175283	1	6	7	3
Sun May 22 01:21:02 2022	1653175262	1	6	7	4
Sun May 22 01:21:02 2022	1653175262	1	6	7	5
Sun May 22 01:21:17 2022	1653175277	1	6	7	4
Sun May 22 01:21:04 2022	1653175264	1	6	7	4
Sun May 22 01:21:16 2022	1653175276	1	6	7	5
Sun May 22 01:21:19 2022	1653175279	0	6	7	4
Sun May 22 01:21:02 2022	1653175262	1	6	7	4
Sun May 22 01:21:02 2022	1653175262	1	6	7	5
Sun May 22 01:21:04 2022	1653175264	1	6	7	4
Sun May 22 01:21:05 2022	1653175265	1	6	7	5
Sun May 22 01:20:28 2022	1653175228	1	6	7	4
Sun May 22 01:21:07 2022	1653175267	1	6	7	6
Sun May 22 01:21:19 2022	1653175279	1	6	7	6
Sun May 22 01:21:21 2022	1653175281	1	6	7	6
Sun May 22 01:21:13 2022	1653175273	1	6	7	6
Sun May 22 01:21:23 2022	1653175283	0	6	7	6
Sun May 22 01:21:02 2022	1653175262	1	6	7	6
Sun May 22 01:21:02 2022	1653175262	1	6	7	4
Sun May 22 01:20:26 2022	1653175226	1	6	7	4
Sun May 22 01:21:15 2022	1653175275	1	6	7	4
Sun May 22 01:21:20 2022	1653175280	1	6	7	6
Sun May 22 01:20:28 2022	1653175228	1	6	7	6
Sun May 22 01:21:02 2022	1653175262	1	6	7	5
Sun May 22 01:20:30 2022	1653175230	1	6	7	4
Sun May 22 01:21:02 2022	1653175262	1	6	7	4
Sun May 22 01:21:23 2022	1653175283	1	6	7	6
Sun May 22 01:20:27 2022	1653175227	1	6	7	6
Sun May 22 01:20:28 2022	1653175228	1	6	7	5
Sun May 22 01:21:04 2022	1653175264	1	6	7	5
Sun May 22 01:21:13 2022	1653175273	1	6	7	6
Sun May 22 01:21:03 2022	1653175263	1	6	7	6
Sun May 22 01:21:03 2022	1653175263	0	6	7	6
Sun May 22 01:20:26 2022	1653175226	1	6	7	4
Sun May 22 01:21:22 2022	1653175282	1	6	7	6
Sun May 22 01:21:02 2022	1653175262	1	6	7	6
Sun May 22 01:21:05 2022	1653175265	1	6	7	6
Sun May 22 01:21:23 2022	1653175283	1	6	7	4
Sun May 22 01:21:22 2022	1653175282	1	6	7	6
Sun May 22 01:20:27 2022	1653175227	1	6	7	6
Sun May 22 01:21:08 2022	1653175268	0	6	7	6
Sun May 22 01:21:02 2022	1653175262	1	6	7	5
Sun May 22 01:21:02 2022	1653175262	0	7	7	4
Sun May 22 01:21:16 2022	1653175276	1	6	7	6
Sun May 22 01:21:16 2022	1653175276	1	6	7	4
Sun May 22 01:21:11 2022	1653175271	1	6	7	6
Sun May 22 01:21:02 2022	1653175262	1	6	7	6
Sun May 22 01:21:03 2022	1653175263	1	6	7	6
Sun May 22 01:21:08 2022	1653175268	1	6	7	6
Sun May 22 01:21:02 2022	1653175262	1	6	7	4
Sun May 22 01:21:05 2022	1653175265	1	6	7	5
Sun May 22 01:21:07 2022	1653175267	1	6	7	6
Sun May 22 01:21:06 2022	1653175266	1	6	7	6
Sun May 22 01:21:03 2022	1653175263	1	7	7	6
Sun May 22 01:21:20 2022	1653175280	1	6	7	6
Sun May 22 01:21:17 2022	1653175277	1	6	7	6
Sun May 22 01:21:03 2022	1653175263	1	6	7	6
Sun May 22 01:21:04 2022	1653175264	1	6	7	5
Sun May 22 01:21:04 2022	1653175264	1	6	7	4
Sun May 22 01:21:03 2022	1653175263	1	7	7	6
Sun May 22 01:21:13 2022	1653175273	0	7	7	5
Sun May 22 01:21:04 2022	1653175264	1	6	7	6
Sun May 22 01:21:20 2022	1653175280	1	6	7	5
Sun May 22 01:21:15 2022	1653175275	1	6	7	5
Sun May 22 01:21:18 2022	1653175278	1	6	7	6
Sun May 22 01:21:14 2022	1653175274	1	6	7	4
Sun May 22 01:21:04 2022	1653175264	1	7	7	7
Sun May 22 01:20:27 2022	1653175227	1	6	7	6
Sun May 22 01:20:31 2022	1653175231	1	6	7	5
Sun May 22 01:20:30 2022	1653175230	1	6	7	4
Sun May 22 01:21:03 2022	1653175263	0	7	7	7
Sun May 22 01:21:03 2022	1653175263	1	6	7	6
Sun May 22 01:20:27 2022	1653175227	1	6	7	6
Sun May 22 01:21:04 2022	1653175264	1	7	7	5
Sun May 22 01:21:10 2022	1653175270	1	6	7	6
Sun May 22 01:20:30 2022	1653175230	1	6	7	6
Sun May 22 01:20:31 2022	1653175231	1	6	7	6
Sun May 22 01:21:02 2022	1653175262	1	7	7	6
Sun May 22 01:21:24 2022	1653175284	1	7	7	6
Sun May 22 01:21:04 2022	1653175264	1	6	7	5
Sun May 22 01:21:12 2022	1653175272	1	6	7	6
Sun May 22 01:21:17 2022	1653175277	1	6	7	6
Sun May 22 01:20:29 2022	1653175229	1	6	7	4
Sun May 22 01:21:20 2022	1653175280	1	7	7	5
Sun May 22 01:21:12 2022	1653175272	1	6	7	5
Sun May 22 01:21:14 2022	1653175274	1	7	7	5
Sun May 22 01:21:08 2022	1653175268	1	7	7	6
Sun May 22 01:21:02 2022	1653175262	1	7	7	5
Sun May 22 01:21:16 2022	1653175276	2	6	7	6
Sun May 22 01:21:07 2022	1653175267	1	6	7	6
Sun May 22 01:21:04 2022	1653175264	0	7	7	6
Sun May 22 01:21:07 2022	1653175267	1	7	7	7
Sun May 22 01:21:20 2022	1653175280	1	7	7	7
Sun May 22 01:21:06 2022	1653175266	1	7	7	7
Sun May 22 01:21:20 2022	1653175280	1	7	7	7
Sun May 22 01:21:04 2022	1653175264	1	7	7	5
Sun May 22 01:21:18 2022	1653175278	1	7	7	7
Sun May 22 01:20:27 2022	1653175227	1	7	7	7
Sun May 22 01:21:02 2022	1653175262	1	7	7	5
Sun May 22 01:21:05 2022	1653175265	1	6	7	4
Sun May 22 01:21:04 2022	1653175264	1	7	7	5
Sun May 22 01:21:21 2022	1653175281	1	6	7	6
Sun May 22 01:21:10 2022	1653175270	1	7	7	7
Sun May 22 01:21:20 2022	1653175280	0	7	7	7
Sun May 22 01:20:26 2022	1653175226	1	7	7	7
Sun May 22 01:20:30 2022	1653175230	1	7	7	5
Sun May 22 01:21:16 2022	1653175276	1	6	7	6
Sun May 22 01:20:29 2022	1653175229	1	6	7	6
Sun May 22 01:21:13 2022	1653175273	1	7	7	5
Sun May 22 01:20:28 2022	1653175228	1	7	7	6
Sun May 22 01:20:27 2022	1653175227	1	6	7	6
Sun May 22 01:21:19 2022	1653175279	1	7	7	5
Sun May 22 01:20:28 2022	1653175228	1	7	7	7
Sun May 22 01:20:26 2022	1653175226	1	6	7	5
Sun May 22 01:21:02 2022	1653175262	1	6	7	6
Sun May 22 01:21:06 2022	1653175266	1	7	7	7
Sun May 22 01:20:28 2022	1653175228	0	7	7	7
Sun May 22 01:20:27 2022	1653175227	1	6	7	6
Sun May 22 01:20:26 2022	1653175226	1	7	7	6
Sun May 22 01:21:02 2022	1653175262	1	7	7	5
Sun May 22 01:21:04 2022	1653175264	1	7	7	5
Sun May 22 01:21:15 2022	1653175275	1	7	7	5
Sun May 22 01:21:23 2022	1653175283	1	7	7	7
Sun May 22 01:21:06 2022	1653175266	1	7	7	7
Sun May 22 01:21:10 2022	1653175270	1	6	7	6
Sun May 22 01:21:20 2022	1653175280	1	7	7	7
Sun May 22 01:21:21 2022	1653175281	1	7	7	7
Sun May 22 01:21:19 2022	1653175279	1	7	7	6
Sun May 22 01:21:02 2022	1653175262	1	7	7	6
Sun May 22 01:21:02 2022	1653175262	1	7	7	6
Sun May 22 01:20:29 2022	1653175229	1	6	7	4
Sun May 22 01:21:03 2022	1653175263	1	7	7	7
Sun May 22 01:21:03 2022	1653175263	1	7	7	7
Sun May 22 01:21:08 2022	1653175268	1	7	7	7
Sun May 22 01:21:16 2022	1653175276	1	7	7	7
Sun May 22 01:21:05 2022	1653175265	1	7	7	5
Sun May 22 01:21:08 2022	1653175268	1	7	7	7
Sun May 22 01:21:04 2022	1653175264	1	7	7	7
Sun May 22 01:21:03 2022	1653175263	2	5	8	5
Sun May 22 01:21:08 2022	1653175268	1	7	8	7
Sun May 22 01:21:05 2022	1653175265	1	6	8	5
Sun May 22 01:20:26 2022	1653175226	1	7	8	6
Sun May 22 01:21:13 2022	1653175273	1	7	8	7
Sun May 22 01:21:16 2022	1653175276	1	6	8	5
Sun May 22 01:21:14 2022	1653175274	1	7	8	5
Sun May 22 01:21:02 2022	1653175262	1	7	8	5
Sun May 22 01:20:32 2022	1653175232	1	7	8	4
Sun May 22 01:21:03 2022	1653175263	1	7	8	7
Sun May 22 01:21:13 2022	1653175273	1	7	8	7
Sun May 22 01:21:22 2022	1653175282	1	7	8	5
Sun May 22 01:20:28 2022	1653175228	1	7	8	5
Sun May 22 01:21:03 2022	1653175263	1	7	8	6
Sun May 22 01:21:03 2022	1653175263	1	7	8	7
Sun May 22 01:21:08 2022	1653175268	1	7	8	7
Sun May 22 01:21:14 2022	1653175274	1	7	8	7
Sun May 22 01:21:20 2022	1653175280	0	7	8	5
Sun May 22 01:21:07 2022	1653175267	1	7	8	7
Sun May 22 01:20:29 2022	1653175229	1	7	8	7
Sun May 22 01:21:05 2022	1653175265	1	7	8	7
Sun May 22 01:20:31 2022	1653175231	1	7	8	5
Sun May 22 01:21:03 2022	1653175263	1	7	8	7
Sun May 22 01:21:04 2022	1653175264	1	7	8	5
Sun May 22 01:21:23 2022	1653175283	1	7	8	7
Sun May 22 01:21:11 2022	1653175271	1	7	8	7
Sun May 22 01:21:09 2022	1653175269	1	7	8	5
Sun May 22 01:21:09 2022	1653175269	1	7	8	5
Sun May 22 01:21:06 2022	1653175266	1	6	8	4
Sun May 22 01:21:03 2022	1653175263	1	7	8	7
Sun May 22 01:21:05 2022	1653175265	1	6	8	6
Sun May 22 01:21:07 2022	1653175267	1	7	8	7
Sun May 22 01:20:27 2022	1653175227	1	7	8	7
Sun May 22 01:21:06 2022	1653175266	1	7	8	7
Sun May 22 01:21:18 2022	1653175278	1	7	8	7
Sun May 22 01:21:14 2022	1653175274	1	7	8	5
Sun May 22 01:20:27 2022	1653175227	1	6	8	6
Sun May 22 01:21:04 2022	1653175264	1	7	8	5
Sun May 22 01:21:24 2022	1653175284	1	7	8	5
Sun May 22 01:20:27 2022	1653175227	1	7	8	7
Sun May 22 01:21:16 2022	1653175276	0	7	8	6
Sun May 22 01:21:06 2022	1653175266	1	7	8	7
Sun May 22 01:21:23 2022	1653175283	0	7	8	7
Sun May 22 01:21:20 2022	1653175280	1	7	8	7
Sun May 22 01:21:20 2022	1653175280	1	7	8	7
Sun May 22 01:20:30 2022	1653175230	1	7	8	7
Sun May 22 01:21:09 2022	1653175269	1	7	8	5
Sun May 22 01:21:03 2022	1653175263	1	7	8	7
Sun May 22 01:21:08 2022	1653175268	1	7	8	5
Sun May 22 01:21:21 2022	1653175281	1	7	8	7
Sun May 22 01:21:18 2022	1653175278	1	7	8	5
Sun May 22 01:21:08 2022	1653175268	1	7	8	5
Sun May 22 01:21:22 2022	1653175282	1	7	8	5
Sun May 22 01:21:23 2022	1653175283	1	7	8	7
Sun May 22 01:20:26 2022	1653175226	1	7	8	7
Sun May 22 01:21:10 2022	1653175270	0	7	8	7
Sun May 22 01:20:27 2022	1653175227	1	7	8	7
Sun May 22 01:20:26 2022	1653175226	1	7	8	7
Sun May 22 01:20:29 2022	1653175229	1	7	8	5
Sun May 22 01:20:27 2022	1653175227	1	7	8	7
Sun May 22 01:21:04 2022	1653175264	1	7	8	5
Sun May 22 01:21:08 2022	1653175268	0	7	8	4
Sun May 22 01:21:02 2022	1653175262	1	7	8	7
Sun May 22 01:21:04 2022	1653175264	1	7	8	4
Sun May 22 01:20:28 2022	1653175228	1	7	8	7
Sun May 22 01:21:04 2022	1653175264	1	7	8	6
Sun May 22 01:20:31 2022	1653175231	1	6	8	5
Sun May 22 01:21:13 2022	1653175273	1	7	8	5
Sun May 22 01:21:20 2022	1653175280	1	7	8	7
Sun May 22 01:21:23 2022	1653175283	1	7	8	7
Sun May 22 01:20:31 2022	1653175231	1	7	8	6
Sun May 22 01:21:03 2022	1653175263	1	7	8	7
Sun May 22 01:21:22 2022	1653175282	1	7	8	7
Sun May 22 01:21:12 2022	1653175272	1	7	8	7
Sun May 22 01:20:27 2022	1653175227	1	7	8	7
Sun May 22 01:21:23 2022	1653175283	0	8	8	7
Sun May 22 01:20:31 2022	1653175231	1	7	8	5
Sun May 22 01:20:26 2022	1653175226	1	7	8	7
Sun May 22 01:21:21 2022	1653175281	1	7	8	7
Sun May 22 01:21:09 2022	1653175269	1	7	8	7
Sun May 22 01:21:04 2022	1653175264	1	7	8	5
Sun May 22 01:21:22 2022	1653175282	1	7	8	7
Sun May 22 01:20:26 2022	1653175226	1	7	8	7
Sun May 22 01:21:03 2022	1653175263	1	7	8	7
Sun May 22 01:21:20 2022	1653175280	1	7	8	7
Sun May 22 01:21:20 2022	1653175280	1	7	8	7
Sun May 22 01:21:19 2022	1653175279	0	7	8	7
Sun May 22 01:20:32 2022	1653175232	1	7	8	6
Sun May 22 01:21:03 2022	1653175263	1	7	8	7
Sun May 22 01:21:18 2022	1653175278	1	7	8	7
Sun May 22 01:21:17 2022	1653175277	1	7	8	7
Sun May 22 01:21:03 2022	1653175263	1	7	8	5
Sun May 22 01:21:10 2022	1653175270	1	7	8	5
Sun May 22 01:21:04 2022	1653175264	1	7	8	7
Sun May 22 01:21:04 2022	1653175264	1	7	8	7
Sun May 22 01:21:24 2022	1653175284	1	7	8	7
Sun May 22 01:21:20 2022	1653175280	1	7	8	7
Sun May 22 01:21:21 2022	1653175281	1	7	8	7
Sun May 22 01:21:04 2022	1653175264	1	7	8	5
Sun May 22 01:21:14 2022	1653175274	1	7	8	7
Sun May 22 01:21:23 2022	1653175283	1	7	8	7
Sun May 22 01:21:19 2022	1653175279	1	7	8	7
Sun May 22 01:21:21 2022	1653175281	1	7	8	7
Sun May 22 01:20:25 2022	1653175225	1	7	8	7
Sun May 22 01:21:03 2022	1653175263	1	7	8	7
Sun May 22 01:21:03 2022	1653175263	1	7	8	7
Sun May 22 01:20:27 2022	1653175227	1	7	8	7
Sun May 22 01:21:17 2022	1653175277	1	7	8	4
Sun May 22 01:21:17 2022	1653175277	0	8	8	5
Sun May 22 01:21:20 2022	1653175280	1	7	8	7
Sun May 22 01:21:20 2022	1653175280	1	7	8	7
Sun May 22 01:20:27 2022	1653175227	1	7	8	7
Sun May 22 01:21:17 2022	1653175277	1	7	8	5
Sun May 22 01:21:16 2022	1653175276	1	7	8	7
Sun May 22 01:21:08 2022	1653175268	1	7	8	7
Sun May 22 01:21:06 2022	1653175266	1	7	8	7
Sun May 22 01:21:22 2022	1653175282	0	8	8	8
Sun May 22 01:21:05 2022	1653175265	1	8	8	5
Sun May 22 01:20:28 2022	1653175228	1	7	8	5
Sun May 22 01:21:16 2022	1653175276	1	7	8	7
Sun May 22 01:21:23 2022	1653175283	1	7	8	7
Sun May 22 01:20:32 2022	1653175232	1	8	8	7
Sun May 22 01:20:30 2022	1653175230	1	7	8	7
Sun May 22 01:20:27 2022	1653175227	1	7	8	7
Sun May 22 01:21:07 2022	1653175267	0	8	8	8
Sun May 22 01:20:28 2022	1653175228	1	7	8	5
Sun May 22 01:21:19 2022	1653175279	0	8	8	8
Sun May 22 01:21:20 2022	1653175280	1	7	8	7
Sun May 22 01:20:27 2022	1653175227	1	8	8	8
Sun May 22 01:21:21 2022	1653175281	1	8	8	8
Sun May 22 01:21:23 2022	1653175283	1	8	8	8
Sun May 22 01:21:11 2022	1653175271	1	7	8	5
Sun May 22 01:21:13 2022	1653175273	1	7	8	7
Sun May 22 01:21:02 2022	1653175262	1	7	8	5
Sun May 22 01:21:07 2022	1653175267	1	7	8	7
Sun May 22 01:20:28 2022	1653175228	1	7	8	7
Sun May 22 01:21:11 2022	1653175271	1	7	8	6
Sun May 22 01:21:16 2022	1653175276	1	8	8	7
Sun May 22 01:21:04 2022	1653175264	1	8	8	6
Sun May 22 01:21:03 2022	1653175263	0	8	8	8
Sun May 22 01:20:28 2022	1653175228	0	8	8	5
Sun May 22 01:20:32 2022	1653175232	1	7	8	4
Sun May 22 01:21:03 2022	1653175263	0	8	8	8
Sun May 22 01:20:30 2022	1653175230	1	7	8	5
Sun May 22 01:21:04 2022	1653175264	1	7	8	7
Sun May 22 01:21:15 2022	1653175275	1	8	8	5
Sun May 22 01:20:32 2022	1653175232	1	8	8	7
Sun May 22 01:21:10 2022	1653175270	1	7	8	6
Sun May 22 01:20:26 2022	1653175226	1	7	8	5
Sun May 22 01:21:07 2022	1653175267	1	8	8	7
Sun May 22 01:21:11 2022	1653175271	0	8	8	8
Sun May 22 01:21:17 2022	1653175277	0	8	8	8
Sun May 22 01:21:08 2022	1653175268	0	8	8	8
Sun May 22 01:21:21 2022	1653175281	1	8	8	5
Sun May 22 01:20:28 2022	1653175228	1	8	8	6
Sun May 22 01:21:24 2022	1653175284	1	7	8	5
Sun May 22 01:21:04 2022	1653175264	1	8	8	5
Sun May 22 01:21:10 2022	1653175270	0	8	8	8
Sun May 22 01:21:06 2022	1653175266	2	7	8	6
Sun May 22 01:21:20 2022	1653175280	1	8	8	7
Sun May 22 01:21:11 2022	1653175271	1	8	8	8
Sun May 22 01:21:04 2022	1653175264	1	8	8	6
Sun May 22 01:21:09 2022	1653175269	1	8	8	6
Sun May 22 01:20:28 2022	1653175228	1	7	8	7
Sun May 22 01:21:21 2022	1653175281	0	8	8	8
Sun May 22 01:20:28 2022	1653175228	1	7	8	7
Sun May 22 01:21:04 2022	1653175264	1	7	8	6
Sun May 22 01:21:13 2022	1653175273	1	8	8	7
Sun May 22 01:21:22 2022	1653175282	1	8	8	7
Sun May 22 01:21:08 2022	1653175268	2	7	8	7
Sun May 22 01:21:23 2022	1653175283	1	7	8	7
Sun May 22 01:21:17 2022	1653175277	1	7	8	5
Sun May 22 01:20:27 2022	1653175227	1	7	8	7
Sun May 22 01:20:28 2022	1653175228	1	8	8	7
Sun May 22 01:20:25 2022	1653175225	0	8	8	8
Sun May 22 01:21:20 2022	1653175280	1	7	8	7
Sun May 22 01:21:04 2022	1653175264	1	8	8	8
Sun May 22 01:20:27 2022	1653175227	1	8	8	8
Sun May 22 01:21:17 2022	1653175277	1	7	8	5
Sun May 22 01:21:03 2022	1653175263	1	8	8	5
Sun May 22 01:21:16 2022	1653175276	1	7	8	5
Sun May 22 01:20:26 2022	1653175226	1	8	8	8
Sun May 22 01:20:28 2022	1653175228	1	8	8	8
Sun May 22 01:21:19 2022	1653175279	1	8	8	7
Sun May 22 01:20:26 2022	1653175226	2	7	8	7
Sun May 22 01:21:04 2022	1653175264	1	8	8	8
Sun May 22 01:20:27 2022	1653175227	0	8	8	8
Sun May 22 01:21:17 2022	1653175277	1	7	8	7
Sun May 22 01:21:21 2022	1653175281	1	7	8	7
Sun May 22 01:20:27 2022	1653175227	1	7	8	7
Sun May 22 01:20:27 2022	1653175227	2	7	8	7
Sun May 22 01:21:19 2022	1653175279	1	8	8	6
Sun May 22 01:21:17 2022	1653175277	1	8	8	6
Sun May 22 01:21:23 2022	1653175283	1	7	8	7
Sun May 22 01:20:27 2022	1653175227	1	8	8	8
Sun May 22 01:21:20 2022	1653175280	1	8	8	8
Sun May 22 01:21:07 2022	1653175267	1	8	8	8
Sun May 22 01:21:19 2022	1653175279	1	8	8	8
Sun May 22 01:21:07 2022	1653175267	0	8	8	8
Sun May 22 01:21:18 2022	1653175278	1	8	8	8
Sun May 22 01:20:27 2022	1653175227	1	8	8	8
Sun May 22 01:21:06 2022	1653175266	1	8	8	8
Sun May 22 01:20:29 2022	1653175229	1	8	8	5
Sun May 22 01:21:21 2022	1653175281	1	8	8	8
Sun May 22 01:21:03 2022	1653175263	1	8	8	8
Sun May 22 01:20:27 2022	1653175227	1	7	8	7
Sun May 22 01:21:02 2022	1653175262	1	8	8	6
Sun May 22 01:20:27 2022	1653175227	1	8	8	7
Sun May 22 01:21:07 2022	1653175267	1	8	8	8
Sun May 22 01:21:21 2022	1653175281	1	8	8	7
Sun May 22 01:21:11 2022	1653175271	1	8	8	8
Sun May 22 01:21:06 2022	1653175266	1	7	8	7
Sun May 22 01:20:29 2022	1653175229	1	7	8	6
Sun May 22 01:20:28 2022	1653175228	1	8	8	6
Sun May 22 01:21:07 2022	1653175267	1	8	8	8
Sun May 22 01:20:27 2022	1653175227	2	7	9	4
Sun May 22 01:21:15 2022	1653175275	1	8	9	8
Sun May 22 01:21:03 2022	1653175263	0	8	9	8
Sun May 22 01:20:28 2022	1653175228	1	8	9	6
Sun May 22 01:21:11 2022	1653175271	0	8	9	8
Sun May 22 01:21:04 2022	1653175264	1	8	9	8
Sun May 22 01:21:08 2022	1653175268	1	8	9	7
Sun May 22 01:21:04 2022	1653175264	0	8	9	7
Sun May 22 01:20:30 2022	1653175230	1	8	9	5
Sun May 22 01:21:11 2022	1653175271	0	8	9	8
Sun May 22 01:21:15 2022	1653175275	1	8	9	8
Sun May 22 01:21:04 2022	1653175264	1	8	9	5
Sun May 22 01:21:18 2022	1653175278	1	8	9	6
Sun May 22 01:21:07 2022	1653175267	1	7	9	7
Sun May 22 01:21:08 2022	1653175268	1	7	9	7
Sun May 22 01:20:27 2022	1653175227	1	7	9	7
Sun May 22 01:20:25 2022	1653175225	1	8	9	5
Sun May 22 01:21:03 2022	1653175263	1	8	9	6
Sun May 22 01:21:24 2022	1653175284	1	8	9	8
Sun May 22 01:21:04 2022	1653175264	1	8	9	5
Sun May 22 01:20:31 2022	1653175231	1	8	9	5
Sun May 22 01:21:04 2022	1653175264	1	8	9	7
Sun May 22 01:21:09 2022	1653175269	1	8	9	8
Sun May 22 01:21:04 2022	1653175264	0	8	9	6
Sun May 22 01:21:03 2022	1653175263	1	8	9	8
Sun May 22 01:21:03 2022	1653175263	1	8	9	8
Sun May 22 01:21:08 2022	1653175268	0	8	9	8
Sun May 22 01:21:04 2022	1653175264	1	8	9	8
Sun May 22 01:21:03 2022	1653175263	1	8	9	8
Sun May 22 01:21:22 2022	1653175282	0	8	9	8
Sun May 22 01:21:03 2022	1653175263	1	7	9	7
Sun May 22 01:20:31 2022	1653175231	1	8	9	7
Sun May 22 01:21:17 2022	1653175277	1	8	9	6
Sun May 22 01:20:28 2022	1653175228	1	8	9	8
Sun May 22 01:21:07 2022	1653175267	1	8	9	7
Sun May 22 01:20:31 2022	1653175231	1	8	9	4
Sun May 22 01:21:15 2022	1653175275	1	8	9	8
Sun May 22 01:21:11 2022	1653175271	1	8	9	6
Sun May 22 01:21:19 2022	1653175279	1	8	9	8
Sun May 22 01:21:19 2022	1653175279	1	7	9	7
Sun May 22 01:21:06 2022	1653175266	1	8	9	8
Sun May 22 01:21:04 2022	1653175264	0	8	9	6
Sun May 22 01:21:24 2022	1653175284	1	8	9	8
Sun May 22 01:21:04 2022	1653175264	1	8	9	6
Sun May 22 01:21:04 2022	1653175264	1	8	9	6
Sun May 22 01:20:27 2022	1653175227	1	8	9	8
Sun May 22 01:21:13 2022	1653175273	0	8	9	8
Sun May 22 01:21:06 2022	1653175266	0	8	9	8
Sun May 22 01:21:04 2022	1653175264	1	8	9	6
Sun May 22 01:21:10 2022	1653175270	1	8	9	8
Sun May 22 01:20:30 2022	1653175230	1	7	9	7
Sun May 22 01:20:27 2022	1653175227	1	8	9	7
Sun May 22 01:20:32 2022	1653175232	1	8	9	6
