starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:28:30 2022	1653172110	1	42	42	41
Sun May 22 00:28:27 2022	1653172107	1	42	42	41
Sun May 22 00:28:09 2022	1653172089	1	42	42	41
Sun May 22 00:27:57 2022	1653172077	1	42	42	39
Sun May 22 00:27:51 2022	1653172071	1	42	42	41
Sun May 22 00:27:48 2022	1653172068	1	42	42	41
Sun May 22 00:27:54 2022	1653172074	0	42	42	41
Sun May 22 00:27:58 2022	1653172078	1	42	42	41
Sun May 22 00:27:58 2022	1653172078	1	42	42	41
Sun May 22 00:28:35 2022	1653172115	1	42	43	41
Sun May 22 00:27:51 2022	1653172071	1	42	43	41
Sun May 22 00:27:54 2022	1653172074	1	42	43	41
Sun May 22 00:28:00 2022	1653172080	1	42	43	41
Sun May 22 00:27:56 2022	1653172076	1	42	43	40
Sun May 22 00:28:10 2022	1653172090	1	41	43	41
Sun May 22 00:28:09 2022	1653172089	1	42	43	41
Sun May 22 00:27:59 2022	1653172079	0	42	43	41
Sun May 22 00:27:46 2022	1653172066	1	42	43	41
Sun May 22 00:28:04 2022	1653172084	1	42	43	41
Sun May 22 00:27:47 2022	1653172067	1	42	43	41
Sun May 22 00:27:50 2022	1653172070	1	41	43	38
Sun May 22 00:27:51 2022	1653172071	1	42	43	40
Sun May 22 00:28:35 2022	1653172115	1	42	43	41
Sun May 22 00:28:11 2022	1653172091	1	42	43	41
Sun May 22 00:28:35 2022	1653172115	1	42	43	41
Sun May 22 00:28:11 2022	1653172091	1	42	43	41
Sun May 22 00:28:02 2022	1653172082	1	42	43	41
Sun May 22 00:28:33 2022	1653172113	1	42	43	41
Sun May 22 00:28:01 2022	1653172081	1	42	43	41
Sun May 22 00:28:16 2022	1653172096	1	42	43	41
Sun May 22 00:28:30 2022	1653172110	1	42	43	41
Sun May 22 00:28:10 2022	1653172090	1	42	43	41
Sun May 22 00:27:57 2022	1653172077	1	42	43	41
Sun May 22 00:28:39 2022	1653172119	1	42	43	41
Sun May 22 00:28:01 2022	1653172081	1	42	43	41
Sun May 22 00:27:47 2022	1653172067	1	42	43	41
Sun May 22 00:27:46 2022	1653172066	1	42	43	41
Sun May 22 00:27:53 2022	1653172073	1	42	43	39
Sun May 22 00:28:16 2022	1653172096	1	42	43	41
Sun May 22 00:28:04 2022	1653172084	1	42	43	41
Sun May 22 00:27:54 2022	1653172074	1	42	43	41
Sun May 22 00:28:35 2022	1653172115	1	42	43	41
Sun May 22 00:27:59 2022	1653172079	1	42	43	41
Sun May 22 00:27:57 2022	1653172077	1	42	43	41
Sun May 22 00:28:28 2022	1653172108	1	42	43	39
Sun May 22 00:28:30 2022	1653172110	1	42	43	41
Sun May 22 00:28:40 2022	1653172120	1	42	43	41
Sun May 22 00:28:05 2022	1653172085	1	42	43	41
Sun May 22 00:28:03 2022	1653172083	1	42	43	41
Sun May 22 00:28:33 2022	1653172113	1	42	43	41
Sun May 22 00:28:15 2022	1653172095	1	42	43	41
Sun May 22 00:28:18 2022	1653172098	1	42	43	41
Sun May 22 00:28:00 2022	1653172080	1	41	43	41
Sun May 22 00:27:48 2022	1653172068	1	42	43	39
Sun May 22 00:28:28 2022	1653172108	1	42	43	40
Sun May 22 00:28:04 2022	1653172084	1	42	43	41
Sun May 22 00:28:03 2022	1653172083	1	42	43	41
Sun May 22 00:28:14 2022	1653172094	1	42	43	41
Sun May 22 00:27:53 2022	1653172073	1	42	43	41
Sun May 22 00:28:22 2022	1653172102	1	42	43	41
Sun May 22 00:28:37 2022	1653172117	0	42	43	41
Sun May 22 00:28:37 2022	1653172117	1	42	43	42
Sun May 22 00:28:38 2022	1653172118	1	42	43	41
Sun May 22 00:28:15 2022	1653172095	1	42	43	41
Sun May 22 00:28:40 2022	1653172120	1	42	43	41
Sun May 22 00:28:02 2022	1653172082	1	42	43	41
Sun May 22 00:28:03 2022	1653172083	1	42	43	41
Sun May 22 00:28:23 2022	1653172103	1	42	43	41
Sun May 22 00:28:03 2022	1653172083	1	42	43	41
Sun May 22 00:28:31 2022	1653172111	1	42	43	42
Sun May 22 00:28:24 2022	1653172104	1	42	43	41
Sun May 22 00:28:31 2022	1653172111	1	42	43	41
Sun May 22 00:28:03 2022	1653172083	1	42	43	41
Sun May 22 00:28:32 2022	1653172112	1	42	43	42
Sun May 22 00:28:26 2022	1653172106	1	42	43	41
Sun May 22 00:28:20 2022	1653172100	1	42	43	41
Sun May 22 00:27:46 2022	1653172066	2	41	43	41
Sun May 22 00:28:06 2022	1653172086	1	42	43	41
Sun May 22 00:28:21 2022	1653172101	1	42	43	41
Sun May 22 00:28:00 2022	1653172080	1	42	43	42
Sun May 22 00:28:13 2022	1653172093	0	42	43	41
Sun May 22 00:28:34 2022	1653172114	1	42	43	41
Sun May 22 00:27:49 2022	1653172069	1	42	43	41
Sun May 22 00:28:22 2022	1653172102	1	42	43	41
Sun May 22 00:28:41 2022	1653172121	1	42	43	41
Sun May 22 00:28:27 2022	1653172107	1	42	43	41
Sun May 22 00:28:25 2022	1653172105	1	42	43	41
Sun May 22 00:27:51 2022	1653172071	1	42	43	42
Sun May 22 00:28:24 2022	1653172104	1	42	43	41
Sun May 22 00:28:40 2022	1653172120	1	42	43	41
Sun May 22 00:28:41 2022	1653172121	1	42	43	41
Sun May 22 00:28:06 2022	1653172086	1	42	43	41
Sun May 22 00:28:13 2022	1653172093	1	42	43	42
Sun May 22 00:28:18 2022	1653172098	1	42	43	42
Sun May 22 00:27:58 2022	1653172078	1	42	43	41
Sun May 22 00:28:12 2022	1653172092	1	42	43	41
Sun May 22 00:27:46 2022	1653172066	4	39	43	38
Sun May 22 00:28:08 2022	1653172088	1	42	43	42
Sun May 22 00:28:14 2022	1653172094	1	42	43	41
Sun May 22 00:27:50 2022	1653172070	1	42	43	38
Sun May 22 00:28:35 2022	1653172115	1	42	43	41
Sun May 22 00:28:06 2022	1653172086	1	42	43	41
Sun May 22 00:28:05 2022	1653172085	1	42	43	41
Sun May 22 00:28:18 2022	1653172098	1	42	43	41
Sun May 22 00:28:32 2022	1653172112	1	42	43	42
Sun May 22 00:28:19 2022	1653172099	1	42	43	42
Sun May 22 00:28:14 2022	1653172094	1	42	43	42
Sun May 22 00:28:18 2022	1653172098	1	42	43	41
Sun May 22 00:28:18 2022	1653172098	1	42	43	41
Sun May 22 00:28:15 2022	1653172095	1	42	43	41
Sun May 22 00:28:28 2022	1653172108	1	42	43	41
Sun May 22 00:28:15 2022	1653172095	1	42	43	41
Sun May 22 00:28:38 2022	1653172118	1	42	43	41
Sun May 22 00:27:52 2022	1653172072	4	39	43	37
Sun May 22 00:28:39 2022	1653172119	1	42	43	41
Sun May 22 00:28:28 2022	1653172108	1	42	43	42
Sun May 22 00:28:41 2022	1653172121	1	42	43	41
Sun May 22 00:28:07 2022	1653172087	1	42	43	41
Sun May 22 00:28:23 2022	1653172103	1	42	43	41
Sun May 22 00:28:11 2022	1653172091	1	42	43	41
Sun May 22 00:28:40 2022	1653172120	1	42	43	41
Sun May 22 00:28:32 2022	1653172112	1	42	43	42
Sun May 22 00:27:59 2022	1653172079	1	42	43	42
Sun May 22 00:28:05 2022	1653172085	1	42	43	41
Sun May 22 00:28:21 2022	1653172101	1	42	43	42
Sun May 22 00:28:24 2022	1653172104	1	42	43	42
Sun May 22 00:28:39 2022	1653172119	1	42	43	42
Sun May 22 00:28:12 2022	1653172092	1	42	43	41
Sun May 22 00:28:04 2022	1653172084	1	42	43	41
Sun May 22 00:28:19 2022	1653172099	1	42	43	42
Sun May 22 00:28:13 2022	1653172093	1	42	43	42
Sun May 22 00:28:05 2022	1653172085	1	42	43	42
Sun May 22 00:28:01 2022	1653172081	1	42	43	42
Sun May 22 00:28:19 2022	1653172099	1	42	43	41
Sun May 22 00:28:09 2022	1653172089	1	42	43	42
Sun May 22 00:28:22 2022	1653172102	1	42	43	42
Sun May 22 00:28:37 2022	1653172117	1	42	43	41
Sun May 22 00:28:29 2022	1653172109	1	42	43	41
Sun May 22 00:28:03 2022	1653172083	1	42	43	42
Sun May 22 00:28:14 2022	1653172094	1	42	43	42
Sun May 22 00:27:51 2022	1653172071	2	42	43	41
Sun May 22 00:28:16 2022	1653172096	1	42	43	41
Sun May 22 00:28:26 2022	1653172106	1	42	43	42
Sun May 22 00:27:49 2022	1653172069	1	43	43	42
Sun May 22 00:28:02 2022	1653172082	1	42	43	41
Sun May 22 00:28:25 2022	1653172105	1	42	43	42
Sun May 22 00:28:23 2022	1653172103	1	42	43	41
Sun May 22 00:28:23 2022	1653172103	1	42	43	41
Sun May 22 00:28:27 2022	1653172107	1	42	43	41
Sun May 22 00:28:31 2022	1653172111	1	43	43	42
Sun May 22 00:28:06 2022	1653172086	1	42	43	41
Sun May 22 00:28:39 2022	1653172119	1	42	43	41
Sun May 22 00:28:35 2022	1653172115	1	42	43	42
Sun May 22 00:27:46 2022	1653172066	1	42	43	42
Sun May 22 00:28:00 2022	1653172080	2	42	43	41
Sun May 22 00:28:41 2022	1653172121	1	43	43	42
Sun May 22 00:28:20 2022	1653172100	1	42	43	42
Sun May 22 00:28:20 2022	1653172100	1	42	43	41
Sun May 22 00:27:53 2022	1653172073	1	43	43	42
Sun May 22 00:28:40 2022	1653172120	1	42	43	42
Sun May 22 00:28:02 2022	1653172082	1	42	43	41
Sun May 22 00:28:40 2022	1653172120	1	42	43	41
Sun May 22 00:28:25 2022	1653172105	1	43	43	42
Sun May 22 00:28:05 2022	1653172085	1	43	43	42
Sun May 22 00:28:00 2022	1653172080	1	42	43	41
Sun May 22 00:28:13 2022	1653172093	1	42	43	42
Sun May 22 00:28:40 2022	1653172120	1	43	43	42
Sun May 22 00:28:19 2022	1653172099	1	42	43	41
Sun May 22 00:28:17 2022	1653172097	1	42	43	42
Sun May 22 00:28:12 2022	1653172092	1	43	43	42
Sun May 22 00:28:38 2022	1653172118	1	43	43	42
Sun May 22 00:28:28 2022	1653172108	1	42	43	41
Sun May 22 00:28:36 2022	1653172116	1	42	43	42
Sun May 22 00:28:07 2022	1653172087	1	43	43	42
Sun May 22 00:28:25 2022	1653172105	1	43	43	42
Sun May 22 00:27:49 2022	1653172069	1	42	43	41
Sun May 22 00:28:17 2022	1653172097	1	43	43	41
Sun May 22 00:28:09 2022	1653172089	1	43	43	42
Sun May 22 00:28:28 2022	1653172108	1	43	43	42
Sun May 22 00:28:25 2022	1653172105	1	43	43	42
Sun May 22 00:28:26 2022	1653172106	1	42	43	42
Sun May 22 00:27:49 2022	1653172069	1	43	43	42
Sun May 22 00:28:08 2022	1653172088	1	43	43	42
Sun May 22 00:28:18 2022	1653172098	1	42	43	42
Sun May 22 00:28:16 2022	1653172096	1	43	43	42
Sun May 22 00:27:55 2022	1653172075	1	43	43	42
Sun May 22 00:28:40 2022	1653172120	1	43	43	42
Sun May 22 00:27:53 2022	1653172073	1	43	43	42
Sun May 22 00:28:03 2022	1653172083	1	42	43	42
Sun May 22 00:28:32 2022	1653172112	1	43	43	42
Sun May 22 00:27:55 2022	1653172075	1	43	43	42
Sun May 22 00:27:56 2022	1653172076	1	43	43	42
Sun May 22 00:27:57 2022	1653172077	1	43	43	41
Sun May 22 00:28:26 2022	1653172106	1	43	43	42
Sun May 22 00:28:15 2022	1653172095	1	43	43	42
Sun May 22 00:27:49 2022	1653172069	1	43	43	41
Sun May 22 00:28:30 2022	1653172110	1	42	43	41
Sun May 22 00:28:03 2022	1653172083	1	43	43	41
Sun May 22 00:28:37 2022	1653172117	1	43	43	42
Sun May 22 00:28:05 2022	1653172085	1	43	43	42
Sun May 22 00:28:08 2022	1653172088	1	42	43	42
Sun May 22 00:27:47 2022	1653172067	1	43	43	42
Sun May 22 00:28:27 2022	1653172107	1	43	43	42
Sun May 22 00:28:09 2022	1653172089	1	42	43	41
Sun May 22 00:28:17 2022	1653172097	1	43	43	42
Sun May 22 00:28:35 2022	1653172115	1	43	43	42
Sun May 22 00:27:55 2022	1653172075	1	43	43	42
Sun May 22 00:28:39 2022	1653172119	1	43	43	42
Sun May 22 00:28:05 2022	1653172085	1	42	43	42
Sun May 22 00:28:04 2022	1653172084	1	43	43	42
Sun May 22 00:28:30 2022	1653172110	1	43	43	42
Sun May 22 00:28:01 2022	1653172081	1	43	43	42
Sun May 22 00:27:56 2022	1653172076	1	43	43	42
Sun May 22 00:28:21 2022	1653172101	1	43	43	42
Sun May 22 00:28:30 2022	1653172110	0	43	43	42
Sun May 22 00:28:37 2022	1653172117	1	43	43	42
Sun May 22 00:27:58 2022	1653172078	1	43	43	42
Sun May 22 00:28:10 2022	1653172090	1	42	43	42
Sun May 22 00:28:24 2022	1653172104	1	43	43	42
Sun May 22 00:28:40 2022	1653172120	1	43	43	42
Sun May 22 00:27:57 2022	1653172077	1	42	43	41
Sun May 22 00:28:34 2022	1653172114	1	43	43	42
Sun May 22 00:28:34 2022	1653172114	1	43	43	42
Sun May 22 00:27:50 2022	1653172070	2	42	43	41
Sun May 22 00:28:16 2022	1653172096	1	43	43	42
Sun May 22 00:27:59 2022	1653172079	1	42	43	38
Sun May 22 00:27:50 2022	1653172070	1	43	43	42
Sun May 22 00:28:13 2022	1653172093	1	43	43	42
Sun May 22 00:28:37 2022	1653172117	1	42	43	42
Sun May 22 00:27:55 2022	1653172075	1	43	43	42
Sun May 22 00:28:28 2022	1653172108	1	43	43	42
Sun May 22 00:27:58 2022	1653172078	1	43	44	42
Sun May 22 00:28:28 2022	1653172108	1	43	44	42
Sun May 22 00:28:10 2022	1653172090	1	43	44	42
Sun May 22 00:28:41 2022	1653172121	1	43	44	42
Sun May 22 00:28:01 2022	1653172081	1	43	44	42
Sun May 22 00:28:16 2022	1653172096	1	43	44	42
Sun May 22 00:28:41 2022	1653172121	1	43	44	42
Sun May 22 00:28:19 2022	1653172099	1	43	44	42
Sun May 22 00:28:37 2022	1653172117	1	43	44	42
Sun May 22 00:28:18 2022	1653172098	1	43	44	42
Sun May 22 00:28:02 2022	1653172082	1	43	44	42
Sun May 22 00:27:53 2022	1653172073	1	43	44	41
Sun May 22 00:28:24 2022	1653172104	1	43	44	42
Sun May 22 00:28:38 2022	1653172118	1	43	44	42
Sun May 22 00:28:19 2022	1653172099	0	43	44	42
Sun May 22 00:28:38 2022	1653172118	0	43	44	43
Sun May 22 00:28:29 2022	1653172109	1	43	44	43
Sun May 22 00:28:40 2022	1653172120	1	43	44	42
Sun May 22 00:28:24 2022	1653172104	1	43	44	42
Sun May 22 00:28:39 2022	1653172119	1	43	44	42
Sun May 22 00:28:37 2022	1653172117	1	43	44	42
Sun May 22 00:27:55 2022	1653172075	1	42	44	42
Sun May 22 00:28:36 2022	1653172116	1	43	44	42
Sun May 22 00:28:37 2022	1653172117	1	43	44	42
Sun May 22 00:27:51 2022	1653172071	1	43	44	42
Sun May 22 00:28:38 2022	1653172118	1	43	44	42
Sun May 22 00:28:16 2022	1653172096	1	43	44	42
Sun May 22 00:28:16 2022	1653172096	1	42	44	42
Sun May 22 00:28:04 2022	1653172084	1	43	44	42
Sun May 22 00:28:26 2022	1653172106	1	43	44	42
Sun May 22 00:27:56 2022	1653172076	1	43	44	42
Sun May 22 00:28:31 2022	1653172111	1	42	44	41
Sun May 22 00:28:40 2022	1653172120	1	43	44	42
Sun May 22 00:28:03 2022	1653172083	1	43	44	42
Sun May 22 00:28:31 2022	1653172111	1	43	44	42
Sun May 22 00:28:20 2022	1653172100	1	43	44	42
Sun May 22 00:27:47 2022	1653172067	1	43	44	42
Sun May 22 00:28:22 2022	1653172102	1	43	44	42
Sun May 22 00:28:24 2022	1653172104	1	42	44	42
Sun May 22 00:28:28 2022	1653172108	1	43	44	42
Sun May 22 00:28:30 2022	1653172110	1	43	44	42
Sun May 22 00:28:31 2022	1653172111	1	42	44	42
Sun May 22 00:28:04 2022	1653172084	1	43	44	41
Sun May 22 00:28:06 2022	1653172086	1	43	44	42
Sun May 22 00:28:40 2022	1653172120	1	43	44	42
Sun May 22 00:27:55 2022	1653172075	1	43	44	42
Sun May 22 00:28:24 2022	1653172104	1	43	44	41
Sun May 22 00:28:06 2022	1653172086	1	43	44	42
Sun May 22 00:28:26 2022	1653172106	1	43	44	42
Sun May 22 00:28:26 2022	1653172106	1	43	44	42
Sun May 22 00:27:58 2022	1653172078	1	43	44	42
Sun May 22 00:27:57 2022	1653172077	1	43	44	43
Sun May 22 00:28:01 2022	1653172081	1	43	44	42
Sun May 22 00:28:00 2022	1653172080	0	43	44	41
Sun May 22 00:28:32 2022	1653172112	1	43	44	42
Sun May 22 00:28:06 2022	1653172086	1	42	44	41
Sun May 22 00:28:25 2022	1653172105	1	43	44	42
Sun May 22 00:28:09 2022	1653172089	0	43	44	42
Sun May 22 00:28:19 2022	1653172099	1	43	44	42
Sun May 22 00:28:33 2022	1653172113	1	43	44	42
Sun May 22 00:28:28 2022	1653172108	1	43	44	42
Sun May 22 00:28:28 2022	1653172108	1	43	44	42
Sun May 22 00:28:30 2022	1653172110	1	43	44	42
Sun May 22 00:28:31 2022	1653172111	0	43	44	43
Sun May 22 00:28:01 2022	1653172081	1	43	44	42
Sun May 22 00:28:34 2022	1653172114	1	43	44	41
Sun May 22 00:28:09 2022	1653172089	1	43	44	42
Sun May 22 00:28:18 2022	1653172098	1	43	44	42
Sun May 22 00:27:52 2022	1653172072	1	43	44	43
Sun May 22 00:27:49 2022	1653172069	1	43	44	43
Sun May 22 00:28:02 2022	1653172082	1	43	44	43
Sun May 22 00:27:48 2022	1653172068	1	43	44	42
Sun May 22 00:28:20 2022	1653172100	1	43	44	42
Sun May 22 00:28:12 2022	1653172092	1	43	44	42
Sun May 22 00:28:09 2022	1653172089	1	43	44	42
Sun May 22 00:27:58 2022	1653172078	1	43	44	42
Sun May 22 00:28:41 2022	1653172121	1	43	44	43
Sun May 22 00:28:11 2022	1653172091	1	43	44	43
Sun May 22 00:28:41 2022	1653172121	1	43	44	42
Sun May 22 00:27:58 2022	1653172078	1	43	44	42
Sun May 22 00:27:53 2022	1653172073	1	43	44	37
Sun May 22 00:28:20 2022	1653172100	1	43	44	41
Sun May 22 00:28:07 2022	1653172087	1	43	44	42
Sun May 22 00:28:22 2022	1653172102	1	43	44	42
Sun May 22 00:28:23 2022	1653172103	1	43	44	42
Sun May 22 00:28:10 2022	1653172090	1	43	44	43
Sun May 22 00:28:27 2022	1653172107	1	43	44	42
Sun May 22 00:28:11 2022	1653172091	1	43	44	42
Sun May 22 00:28:35 2022	1653172115	1	43	44	42
Sun May 22 00:27:51 2022	1653172071	1	43	44	42
Sun May 22 00:28:36 2022	1653172116	1	43	44	43
Sun May 22 00:28:05 2022	1653172085	1	43	44	43
Sun May 22 00:28:34 2022	1653172114	1	43	44	43
Sun May 22 00:28:36 2022	1653172116	1	43	44	42
Sun May 22 00:27:59 2022	1653172079	1	43	44	42
Sun May 22 00:28:02 2022	1653172082	1	43	44	42
Sun May 22 00:27:51 2022	1653172071	1	43	44	42
Sun May 22 00:28:08 2022	1653172088	1	43	44	42
Sun May 22 00:28:35 2022	1653172115	1	43	44	43
Sun May 22 00:27:58 2022	1653172078	1	43	44	42
Sun May 22 00:28:16 2022	1653172096	1	43	44	42
Sun May 22 00:27:53 2022	1653172073	1	43	44	38
Sun May 22 00:28:15 2022	1653172095	1	43	44	43
Sun May 22 00:27:51 2022	1653172071	1	43	44	41
Sun May 22 00:28:15 2022	1653172095	1	43	44	43
Sun May 22 00:28:10 2022	1653172090	1	43	44	42
Sun May 22 00:28:18 2022	1653172098	1	43	44	43
Sun May 22 00:28:24 2022	1653172104	1	43	44	43
Sun May 22 00:27:47 2022	1653172067	1	43	44	42
Sun May 22 00:28:20 2022	1653172100	1	43	44	43
Sun May 22 00:28:27 2022	1653172107	1	43	44	42
Sun May 22 00:28:23 2022	1653172103	0	44	44	42
Sun May 22 00:28:02 2022	1653172082	1	43	44	43
Sun May 22 00:28:16 2022	1653172096	1	43	44	42
Sun May 22 00:28:13 2022	1653172093	1	44	44	43
Sun May 22 00:28:10 2022	1653172090	1	43	44	43
Sun May 22 00:28:30 2022	1653172110	1	43	44	43
Sun May 22 00:27:52 2022	1653172072	0	44	44	43
Sun May 22 00:28:28 2022	1653172108	1	43	44	43
Sun May 22 00:27:54 2022	1653172074	1	43	44	42
Sun May 22 00:28:04 2022	1653172084	1	43	44	43
Sun May 22 00:28:21 2022	1653172101	1	43	44	42
Sun May 22 00:28:09 2022	1653172089	1	43	44	43
Sun May 22 00:28:28 2022	1653172108	1	43	44	43
Sun May 22 00:28:05 2022	1653172085	1	44	44	42
Sun May 22 00:28:13 2022	1653172093	1	43	44	43
Sun May 22 00:28:05 2022	1653172085	1	43	44	42
Sun May 22 00:28:35 2022	1653172115	1	44	44	43
Sun May 22 00:28:22 2022	1653172102	1	43	44	41
Sun May 22 00:28:19 2022	1653172099	1	43	44	43
Sun May 22 00:28:38 2022	1653172118	1	43	44	42
Sun May 22 00:28:18 2022	1653172098	1	43	44	43
Sun May 22 00:28:02 2022	1653172082	1	43	44	43
Sun May 22 00:28:34 2022	1653172114	1	44	44	41
Sun May 22 00:27:58 2022	1653172078	1	43	44	42
Sun May 22 00:28:07 2022	1653172087	1	43	44	42
Sun May 22 00:28:41 2022	1653172121	1	43	44	42
Sun May 22 00:28:29 2022	1653172109	1	43	44	42
Sun May 22 00:27:55 2022	1653172075	1	44	44	43
Sun May 22 00:28:25 2022	1653172105	1	43	44	43
Sun May 22 00:28:28 2022	1653172108	1	43	44	43
Sun May 22 00:28:02 2022	1653172082	1	43	44	43
Sun May 22 00:28:32 2022	1653172112	1	44	44	43
Sun May 22 00:27:47 2022	1653172067	1	43	44	42
Sun May 22 00:28:28 2022	1653172108	1	44	44	43
Sun May 22 00:28:29 2022	1653172109	1	44	44	43
Sun May 22 00:28:40 2022	1653172120	1	43	44	42
Sun May 22 00:28:20 2022	1653172100	1	43	44	42
Sun May 22 00:28:03 2022	1653172083	1	43	44	42
Sun May 22 00:28:20 2022	1653172100	1	43	44	43
Sun May 22 00:28:19 2022	1653172099	1	43	44	43
Sun May 22 00:28:40 2022	1653172120	1	43	44	43
Sun May 22 00:27:55 2022	1653172075	1	44	44	43
Sun May 22 00:28:20 2022	1653172100	1	43	44	43
Sun May 22 00:28:30 2022	1653172110	1	43	44	42
Sun May 22 00:28:25 2022	1653172105	1	44	44	43
Sun May 22 00:28:01 2022	1653172081	1	43	44	43
Sun May 22 00:28:11 2022	1653172091	1	43	44	42
Sun May 22 00:28:36 2022	1653172116	1	43	44	43
Sun May 22 00:27:55 2022	1653172075	2	43	44	42
Sun May 22 00:28:28 2022	1653172108	0	44	44	44
Sun May 22 00:28:40 2022	1653172120	1	44	44	43
Sun May 22 00:28:26 2022	1653172106	1	44	44	43
Sun May 22 00:28:31 2022	1653172111	1	44	44	43
Sun May 22 00:28:08 2022	1653172088	1	44	44	43
Sun May 22 00:28:16 2022	1653172096	1	43	44	42
Sun May 22 00:28:09 2022	1653172089	1	43	44	43
Sun May 22 00:28:35 2022	1653172115	1	44	44	43
Sun May 22 00:28:32 2022	1653172112	1	43	44	43
Sun May 22 00:27:54 2022	1653172074	1	44	44	43
Sun May 22 00:28:06 2022	1653172086	1	44	44	43
Sun May 22 00:28:01 2022	1653172081	1	44	44	43
Sun May 22 00:28:03 2022	1653172083	1	43	44	42
Sun May 22 00:28:06 2022	1653172086	1	44	44	43
Sun May 22 00:28:10 2022	1653172090	1	44	44	43
Sun May 22 00:28:25 2022	1653172105	1	44	44	43
Sun May 22 00:28:15 2022	1653172095	1	43	44	43
Sun May 22 00:28:32 2022	1653172112	0	44	44	43
Sun May 22 00:28:02 2022	1653172082	1	43	44	43
Sun May 22 00:28:22 2022	1653172102	1	44	44	43
Sun May 22 00:28:18 2022	1653172098	1	44	44	43
Sun May 22 00:27:57 2022	1653172077	1	44	44	43
Sun May 22 00:28:26 2022	1653172106	1	44	44	42
Sun May 22 00:27:54 2022	1653172074	1	44	44	43
Sun May 22 00:28:06 2022	1653172086	1	44	44	43
Sun May 22 00:28:24 2022	1653172104	1	44	44	43
Sun May 22 00:28:23 2022	1653172103	1	44	44	43
Sun May 22 00:28:28 2022	1653172108	1	43	44	42
Sun May 22 00:28:30 2022	1653172110	0	44	44	43
Sun May 22 00:28:20 2022	1653172100	1	44	44	43
Sun May 22 00:28:38 2022	1653172118	1	44	44	43
Sun May 22 00:28:40 2022	1653172120	1	44	44	42
Sun May 22 00:28:39 2022	1653172119	1	44	44	43
Sun May 22 00:28:19 2022	1653172099	1	44	44	43
Sun May 22 00:27:58 2022	1653172078	0	44	44	43
Sun May 22 00:28:12 2022	1653172092	1	44	44	43
Sun May 22 00:28:36 2022	1653172116	1	44	44	43
Sun May 22 00:28:18 2022	1653172098	1	43	44	42
Sun May 22 00:27:54 2022	1653172074	1	44	44	43
Sun May 22 00:27:49 2022	1653172069	1	44	44	43
Sun May 22 00:28:04 2022	1653172084	1	44	44	43
Sun May 22 00:28:35 2022	1653172115	1	44	44	43
Sun May 22 00:28:20 2022	1653172100	1	43	44	43
Sun May 22 00:28:31 2022	1653172111	1	44	44	43
Sun May 22 00:28:03 2022	1653172083	1	44	44	43
Sun May 22 00:28:17 2022	1653172097	1	44	44	43
Sun May 22 00:28:02 2022	1653172082	1	44	44	44
Sun May 22 00:28:29 2022	1653172109	1	44	44	43
Sun May 22 00:28:00 2022	1653172080	1	44	44	43
Sun May 22 00:28:17 2022	1653172097	1	44	45	43
Sun May 22 00:28:26 2022	1653172106	1	44	45	43
Sun May 22 00:28:27 2022	1653172107	1	44	45	43
Sun May 22 00:28:35 2022	1653172115	1	44	45	43
Sun May 22 00:27:53 2022	1653172073	1	44	45	43
Sun May 22 00:27:49 2022	1653172069	1	44	45	43
Sun May 22 00:28:05 2022	1653172085	1	44	45	43
Sun May 22 00:28:31 2022	1653172111	1	44	45	43
Sun May 22 00:28:16 2022	1653172096	1	43	45	43
Sun May 22 00:28:17 2022	1653172097	1	44	45	43
Sun May 22 00:28:12 2022	1653172092	1	43	45	42
Sun May 22 00:28:26 2022	1653172106	1	44	45	43
Sun May 22 00:27:53 2022	1653172073	0	44	45	44
Sun May 22 00:28:01 2022	1653172081	1	44	45	43
Sun May 22 00:28:26 2022	1653172106	1	44	45	43
Sun May 22 00:28:13 2022	1653172093	1	44	45	43
Sun May 22 00:28:06 2022	1653172086	1	44	45	43
Sun May 22 00:28:24 2022	1653172104	1	44	45	43
Sun May 22 00:27:54 2022	1653172074	1	44	45	42
Sun May 22 00:28:08 2022	1653172088	1	43	45	43
Sun May 22 00:27:51 2022	1653172071	1	44	45	42
Sun May 22 00:27:59 2022	1653172079	1	44	45	43
Sun May 22 00:28:16 2022	1653172096	1	44	45	43
Sun May 22 00:28:17 2022	1653172097	1	44	45	43
Sun May 22 00:28:05 2022	1653172085	1	44	45	43
Sun May 22 00:28:36 2022	1653172116	0	44	45	43
Sun May 22 00:28:36 2022	1653172116	1	44	45	43
Sun May 22 00:28:31 2022	1653172111	1	44	45	43
Sun May 22 00:27:58 2022	1653172078	1	44	45	43
Sun May 22 00:27:47 2022	1653172067	1	43	45	43
Sun May 22 00:28:06 2022	1653172086	1	44	45	43
Sun May 22 00:28:16 2022	1653172096	1	44	45	43
Sun May 22 00:28:28 2022	1653172108	1	44	45	43
Sun May 22 00:28:20 2022	1653172100	1	44	45	43
Sun May 22 00:28:11 2022	1653172091	1	44	45	43
Sun May 22 00:28:07 2022	1653172087	1	44	45	43
Sun May 22 00:28:15 2022	1653172095	1	44	45	43
Sun May 22 00:28:26 2022	1653172106	1	44	45	43
Sun May 22 00:28:24 2022	1653172104	1	44	45	43
Sun May 22 00:28:07 2022	1653172087	1	44	45	42
Sun May 22 00:28:39 2022	1653172119	1	44	45	43
